"temperature_2m","windspeed_100m","sin_wd_100","Power"
35.1,3.64,-0.848048096156426,0.0435
36,3.94,-0.809016994374948,0.0495
36.8,4.19,-0.838670567945424,0.0598
37,4.78,-0.798635510047293,0.0745
37.6,5.04,-0.777145961456971,0.0891
36.8,5.26,-0.777145961456971,0.1037
35.6,4.76,-0.777145961456971,0.1184
34.6,4.89,-0.656059028990507,0.133
33.9,4.38,-0.819152044288992,0.1406
33.9,4.18,-0.933580426497202,0.1412
34.2,4.52,-0.882947592858927,0.1418
34.4,5.24,-0.819152044288992,0.1424
34.2,4.75,-0.866025403784439,0.143
33.4,4.95,-0.970295726275997,0.1436
33.5,4.49,-0.933580426497202,0.1442
33.1,4.08,-0.809016994374948,0.1448
32.1,5.23,-0.992546151641322,0.1454
32.6,4.84,-0.992546151641322,0.146
32.5,3.69,-0.974370064785235,0.1466
31.8,2.81,-0.997564050259824,0.1462
33.3,2.06,-0.92050485345244,0.1448
33.4,3.36,-0.601815023152048,0.1434
34.5,3.45,-0.292371704722737,0.142
35.5,2.25,0.3583679495453,0.1406
36.6,2.75,0.17364817766693,0.1393
36.9,3.93,-0.121869343405147,0.1379
37.7,2.94,0.309016994374948,0.138
37.8,3.76,0.766044443118978,0.1396
38.3,3.85,0.882947592858927,0.1412
36.2,4.08,0.981627183447664,0.1428
35.5,4.34,0.99026806874157,0.1445
34.6,3.59,0.974370064785235,0.1461
33,2.02,0.987688340595138,0.1449
32.7,0.85,0.3583679495453,0.141
32.4,0.8,-1,0.137
32.4,2.53,-0.951056516295154,0.1331
33,3.4,-0.970295726275997,0.1291
33.5,4.12,-0.994521895368273,0.1252
33.4,4.2,-0.978147600733806,0.1212
33.2,4.27,-0.933580426497202,0.1173
33,4.56,-0.965925826289068,0.1133
32.6,4.92,-0.996194698091746,0.1094
32.3,5.05,-0.891006524188368,0.1054
32.1,5.3,-0.809016994374948,0.1495
32.2,5.74,-0.754709580222772,0.2417
32.4,6.88,-0.754709580222772,0.3338
33,7.39,-0.64278760968654,0.4259
34.2,9.6,-0.515038074910054,0.5181
35.2,8.94,-0.587785252292473,0.6102
37.2,9.26,-0.707106781186548,0.7024
36.8,9.71,-0.848048096156426,0.7592
36.5,8.18,-0.891006524188368,0.7806
38.2,8.62,-0.927183854566787,0.8021
37.4,9.18,-0.961261695938319,0.8235
35.7,8.88,-0.970295726275997,0.845
33.8,8.61,-0.974370064785235,0.8665
31.7,9.48,-0.970295726275997,0.8734
30.7,9.68,-0.961261695938319,0.8659
29.6,9.81,-0.956304755963035,0.8583
28.9,9.08,-0.981627183447664,0.8507
28.4,8.23,-0.996194698091746,0.8432
28.8,8.13,-0.996194698091746,0.8356
28.5,8.12,-0.997564050259824,0.8281
28.1,7.68,-0.99026806874157,0.8205
27,7.82,-0.997564050259824,0.813
26.8,8.04,-0.994521895368273,0.8054
26.6,8.32,-0.998629534754574,0.7978
26,8.2,-1,0.8021
28,8.3,-0.999847695156391,0.8182
27.8,8.43,-0.996194698091746,0.8342
29.2,8.16,-0.992546151641322,0.8503
31.2,8.91,-0.999390827019096,0.8664
32.8,10.47,-0.984807753012208,0.8825
33.8,10.68,-0.992546151641322,0.8985
34.1,11.31,-0.99026806874157,0.9071
33.7,10.72,-0.997564050259824,0.908
33.1,10.3,-0.999847695156391,0.909
31.5,10.03,-0.996194698091746,0.91
30.2,9.34,-0.984807753012208,0.911
28.8,9.63,-0.984807753012208,0.912
27.7,9.01,-0.956304755963035,0.8951
27.6,9.46,-0.974370064785235,0.8604
27.1,9.08,-0.981627183447664,0.8256
26.8,9.23,-0.996194698091746,0.7909
26.4,9.14,-0.996194698091746,0.7562
26.3,8.3,-0.987688340595138,0.7214
26.3,7.91,-0.951056516295154,0.6867
26.2,7.83,-0.891006524188368,0.6519
26,8.45,-0.891006524188368,0.6172
26.2,8.48,-0.945518575599317,0.5824
26.7,7.87,-0.951056516295154,0.5477
26.9,8.51,-0.939692620785908,0.544
27.4,6.82,-0.927183854566787,0.5712
27.2,7.69,-0.933580426497202,0.5985
27.8,8.43,-0.927183854566787,0.6258
29,8.88,-0.970295726275996,0.6531
30.2,8.88,-0.99026806874157,0.6803
31.8,8.75,-0.981627183447664,0.7076
32.6,8.8,-0.99026806874157,0.6965
31.7,9.36,-0.992546151641322,0.6469
31.3,8.6,-0.987688340595138,0.5973
31.3,8.27,-0.99026806874157,0.5477
30.2,5.98,-0.933580426497202,0.4981
29.4,7.81,-0.999390827019096,0.4485
27.2,7.51,-0.998629534754574,0.4261
26.2,8.39,-0.965925826289068,0.4307
25.3,8.1,-0.913545457642601,0.4353
23.6,7.43,-0.913545457642601,0.44
22.7,7.07,-0.90630778703665,0.4446
22.1,7.22,-0.927183854566787,0.4492
21.1,7.39,-0.92050485345244,0.4538
20.3,7,-0.927183854566787,0.4585
