"temperature_2m","windspeed_100m","sin_wd_100","Power"
30.4,4.1,-0.73135370161917,0.1082
30.4,3.06,-0.788010753606722,0.0972
32.2,4.65,-0.987688340595138,0.0862
33.3,4.03,-0.866025403784439,0.0752
35.2,4.07,-0.422618261740699,0.0642
35.7,3.86,-0.17364817766693,0.0579
36,2.82,-0.390731128489274,0.0563
36.3,2.02,-0.544639035015027,0.0547
36.3,1.26,-0.309016994374948,0.0531
36.1,2.06,0.484809620246337,0.0514
35.2,3.16,0.819152044288992,0.0498
32.1,2.19,0.73135370161917,0.0482
32.1,2.52,0.829037572555042,0.0466
31.4,3.36,0.92050485345244,0.0449
31.1,3.37,0.978147600733806,0.0433
30.5,3.5,0.999390827019096,0.0417
31.2,4.71,0.997564050259824,0.0401
30.2,3.83,0.965925826289068,0.0384
30.5,4.13,0.992546151641322,0.0368
29.6,4.12,0.994521895368273,0.0352
28.7,4.6,1,0.0336
28.8,4.9,1,0.0319
28.8,5.81,0.997564050259824,0.0631
29,5.91,0.998629534754574,0.1269
30.3,4.96,0.987688340595138,0.1908
30,6.53,0.965925826289068,0.2546
31.3,6.49,0.984807753012208,0.3185
32.4,7.91,0.987688340595138,0.3823
33,7.53,0.981627183447664,0.4462
32.8,7.27,0.99026806874157,0.5125
33.2,7.22,0.997564050259824,0.5813
33.4,8.19,0.99026806874157,0.6501
33.4,9.4,0.913545457642601,0.7188
32.6,9.86,0.92050485345244,0.7876
32,10.29,0.882947592858927,0.8564
31.1,10.44,0.939692620785908,0.893
31.4,9.61,0.978147600733806,0.8976
31.4,9.63,0.965925826289068,0.9022
31.5,9.62,0.956304755963035,0.9067
31.6,8.59,0.898794046299167,0.9113
31.5,8.83,0.857167300702112,0.9159
31.2,7.73,0.766044443118978,0.9204
30.6,7.41,0.529919264233205,0.925
30.9,8.6,0.390731128489274,0.9296
31,8.42,0.224951054343865,0.9341
30.6,8.91,0.156434465040231,0.9387
30.4,9.55,0.104528463267653,0.9381
30.5,9.38,0.121869343405147,0.9323
30.4,9.5,0.0174524064372835,0.9265
30,10.11,-0.0348994967025008,0.9207
30,10.23,-0.156434465040231,0.9149
29.8,9.9,-0.275637355816999,0.9091
29.6,10.56,-0.325568154457157,0.9033
29,10.93,-0.4067366430758,0.9017
28.7,11.36,-0.453990499739547,0.9044
28.2,11.41,-0.484809620246337,0.9071
27.9,10.8,-0.515038074910054,0.9098
27.6,10.68,-0.559192903470747,0.9125
27.1,11.1,-0.484809620246337,0.9152
26.3,10.23,-0.559192903470747,0.913
26.1,10.23,-0.559192903470747,0.9059
26.2,9.82,-0.544639035015027,0.8989
